timestamp,close
2025/3/3,1.2699
2025/3/4,1.2794
2025/3/5,1.2893
2025/3/6,1.2882
2025/3/7,1.292
2025/3/10,1.2874
2025/3/11,1.2946
2025/3/12,1.296
2025/3/13,1.2946
2025/3/14,1.2932
2025/3/17,1.2991
2025/3/18,1.3
2025/3/19,1.3
2025/3/20,1.2963
2025/3/21,1.2918
2025/3/24,1.2919
2025/3/25,1.2943
2025/3/26,1.2885
2025/3/27,1.2945
2025/3/28,1.2938
2025/3/31,1.2918
2025/4/1,1.2919
2025/4/2,1.3005
2025/4/3,1.3096
2025/4/4,1.289
2025/4/7,1.2718
2025/4/8,1.2765
2025/4/9,1.2814
2025/4/10,1.2967
2025/4/11,1.308
2025/4/14,1.3189
2025/4/15,1.323
2025/4/16,1.324
2025/4/17,1.3265
2025/4/18,1.3294
2025/4/21,1.3377
2025/4/22,1.3331
2025/4/23,1.3257
2025/4/24,1.3343
2025/4/25,1.3316
2025/4/28,1.3441
2025/4/29,1.3407
2025/4/30,1.3331
2025/5/1,1.3282
2025/5/2,1.3272
2025/5/5,1.3293
2025/5/6,1.3369
2025/5/7,1.3296
2025/5/8,1.3247
2025/5/9,1.3306
2025/5/12,1.3176
2025/5/13,1.3308
2025/5/14,1.3263
2025/5/15,1.3301
2025/5/16,1.3275
2025/5/19,1.3362
2025/5/20,1.3394
2025/5/21,1.342
2025/5/22,1.3419
2025/5/23,1.3538
2025/5/26,1.3564
2025/5/27,1.3507
2025/5/28,1.3474
2025/5/29,1.349
2025/5/30,1.3461
