date,pair,prediction,amount,price,quantity,is_reversed,profit,from_currency,to_currency,received,accuracy
2025-01-10,GBP_CNY,SELL,1000.0,8.9521,111.70563331508808,False,,,,,
2025-01-10,GBP_USD,SELL,1000.0,1.2204,819.403474270731,False,,,,,
2025-01-10,CNY_GBP,BUY,1000.0,0.1117,8952.551477170995,False,,,,,
2025-01-13,USD_CNY,BUY,1000.0,7.332,136.3884342607747,False,,,,,
2025-01-13,USD_GBP,BUY,1000.0,0.8194,1220.40517451794,False,,,,,
2025-01-13,CNY_USD,SELL,5000.0,0.1364,36656.89149560117,False,,,,,
2025-01-13,GBP_CNY,SELL,1000.0,8.9465,111.77555468619012,False,,,,,
2025-01-13,GBP_USD,SELL,1000.0,1.22,819.672131147541,False,,,,,
2025-01-13,CNY_GBP,BUY,1000.0,0.1118,8944.54382826476,False,,,,,
2025-01-14,USD_CNY,BUY,1000.0,7.3312,136.40331732867745,False,,,,,
2025-01-14,USD_GBP,BUY,1000.0,0.8185,1221.7470983506414,False,,,,,
2025-01-14,CNY_USD,SELL,5000.0,0.1364,36656.89149560117,False,,,,,
2025-01-14,GBP_CNY,SELL,1000.0,8.9557,111.660730037853,False,,,,,
2025-01-14,GBP_USD,SELL,1000.0,1.2215,818.6655751125664,False,,,,,
2025-01-14,CNY_GBP,BUY,1000.0,0.1116,8960.573476702508,False,,,,,
2025-01-01,USD_GBP,BUY,1000.0,0.7988,,False,,USD,GBP,798.8,1.0
2025-01-01,CNY_USD,SELL,685.0,0.137,,False,,USD,CNY,5000.0,1.0
2025-01-01,GBP_USD,SELL,1251.7,1.2517,,False,,USD,GBP,1000.0,1.0
2025-01-02,USD_GBP,SELL,805.698067088,0.8077,,False,,GBP,USD,997.52144,1.0
2025-01-02,CNY_USD,SELL,683.3021864000001,0.137,,False,,USD,CNY,4987.6072,1.0
2025-01-03,USD_GBP,SELL,803.0083493226348,0.805,,False,,GBP,USD,997.5258997796705,1.0
2025-01-03,CNY_USD,SELL,681.3101895495148,0.1366,,False,,USD,CNY,4987.629498898352,1.0
2025-01-06,CNY_USD,SELL,681.4490733431801,0.1366,,False,,USD,CNY,4988.64621773924,1.0
2025-01-07,USD_GBP,SELL,159.8307411979544,0.8012,,False,,GBP,USD,199.48919270838044,0.6
2025-01-07,CNY_USD,SELL,680.7568701173484,0.1365,,False,,USD,CNY,4987.229817709512,1.0
2025-01-07,GBP_CNY,SELL,1823.5706083858472,9.1412,,False,,CNY,GBP,199.48919270838044,0.6
2025-01-07,GBP_USD,SELL,248.82287006516293,1.2473,,False,,USD,GBP,199.48919270838044,0.6
2025-01-08,CNY_USD,SELL,679.7780504660708,0.1364,,False,,USD,CNY,4983.710047405211,1.0
2025-01-08,GBP_CNY,SELL,3011.9924618145296,9.0637,,False,,CNY,GBP,332.31378596097943,0.6667
2025-01-08,GBP_USD,SELL,410.8063022049628,1.2362,,False,,USD,GBP,332.31378596097943,0.6667
2025-01-09,CNY_USD,SELL,679.3433498978476,0.1364,,False,,USD,CNY,4980.523093092725,1.0
2025-01-09,GBP_CNY,SELL,3852.492207276271,9.0237,,False,,CNY,GBP,426.9304395399084,0.7143
2025-01-09,GBP_USD,SELL,525.2952128099033,1.2304,,False,,USD,GBP,426.9304395399084,0.7143
2025-01-09,CNY_GBP,BUY,142.24373953872825,0.1108,,False,,CNY,GBP,15.760606340891089,0.5714
2025-01-10,CNY_USD,SELL,677.9909559593356,0.1364,,False,,USD,CNY,4970.608181520056,1.0
2025-01-10,GBP_CNY,SELL,4449.738150178569,8.9521,,False,,CNY,GBP,497.06081815200565,0.75
2025-01-10,GBP_USD,SELL,606.6130224727076,1.2204,,False,,USD,GBP,497.0608181520056,0.75
2025-01-10,CNY_GBP,BUY,248.5304090760028,0.1117,,False,,CNY,GBP,27.76084669378951,0.625
2025-01-13,CNY_USD,SELL,677.8855446199725,0.1364,,False,,USD,CNY,4969.835371114168,1.0
2025-01-13,GBP_CNY,SELL,2964.768311606829,8.9465,,False,,CNY,GBP,331.38862254589264,0.6667
2025-01-13,GBP_USD,SELL,404.29411950598904,1.22,,False,,USD,GBP,331.38862254589264,0.6667
2025-01-13,CNY_GBP,BUY,110.52913865357908,0.1118,,False,,CNY,GBP,12.35715770147014,0.5556
2025-01-14,CNY_USD,SELL,678.2531453781629,0.1364,,False,,USD,CNY,4972.530391335506,1.0
2025-01-14,GBP_CNY,SELL,1781.2996170273352,8.9557,,False,,CNY,GBP,198.9012156534202,0.6
2025-01-14,GBP_USD,SELL,242.95783492065277,1.2215,,False,,USD,GBP,198.9012156534202,0.6
2025-01-15,CNY_USD,SELL,678.9443074455304,0.1364,,False,,USD,CNY,4977.597561917379,1.0
2025-01-15,GBP_CNY,SELL,2437.6816414524324,8.976,,False,,CNY,GBP,271.57772297821214,0.6364
2025-01-16,GBP_CNY,SELL,2978.6025410496027,8.9747,,False,,CNY,GBP,331.88881422772937,0.6667
2025-01-17,GBP_CNY,SELL,2041.0371085124432,8.9126,,False,,CNY,GBP,229.00580173153105,0.6154
2025-01-20,CNY_USD,BUY,3575.2987156760582,0.1369,,False,,CNY,USD,489.4583941760524,0.8571
2025-01-20,GBP_CNY,BUY,142.97190047564865,8.9997,,False,,GBP,CNY,1286.7042127106952,0.5714
2025-01-20,GBP_USD,BUY,286.144041708266,1.2323,,False,,GBP,USD,352.61530259709616,0.6429
2025-01-21,CNY_USD,SELL,506.3220973159528,0.1375,,False,,USD,CNY,3682.3425259342016,0.8667
2025-01-21,GBP_CNY,SELL,1804.5185489783903,8.985,,False,,CNY,GBP,200.83678897923105,0.6
2025-01-21,CNY_GBP,BUY,66.87865073008393,0.1113,,False,,CNY,GBP,7.443593826258342,0.5333
2025-01-22,GBP_CNY,SELL,1122.5347543393978,8.9587,,False,,CNY,GBP,125.30107653335838,0.5625
2025-01-22,GBP_USD,SELL,308.6416117169684,1.2316,,False,,USD,GBP,250.60215306671677,0.625
2025-01-23,GBP_CNY,SELL,531.1829465173422,9.0031,,False,,CNY,GBP,59.0000051668139,0.5294
