timestamp,close
2025/01/02,4.561
2025/01/03,4.601
2025/01/06,4.623
2025/01/07,4.684
2025/01/08,4.692
2025/01/09,4.688
2025/01/10,4.762
2025/01/13,4.789
2025/01/14,4.792
2025/01/15,4.654
2025/01/16,4.611
2025/01/17,4.622
2025/01/21,4.572
2025/01/22,4.612
2025/01/23,4.645
2025/01/24,4.616
2025/01/27,4.533
2025/01/28,4.533
2025/01/29,4.533
2025/01/30,4.519
2025/01/31,4.542
2025/02/03,4.551
2025/02/04,4.512
2025/02/05,4.423
2025/02/06,4.435
2025/02/07,4.494
2025/02/10,4.5
2025/02/11,4.536
2025/02/12,4.625
2025/02/13,4.532
2025/02/14,4.477
2025/02/18,4.551
2025/02/19,4.534
2025/02/20,4.506
2025/02/21,4.43
2025/02/24,4.399
2025/02/25,4.297
2025/02/26,4.254
2025/02/27,4.265
2025/02/28,4.202
2025/03/03,4.158
2025/03/04,4.241
2025/03/05,4.279
2025/03/06,4.279
2025/03/07,4.304
2025/03/10,4.218
2025/03/11,4.281
2025/03/12,4.315
2025/03/13,4.269
2025/03/14,4.318
2025/03/17,4.298
2025/03/18,4.283
2025/03/19,4.246
2025/03/20,4.24
2025/03/21,4.249
2025/03/24,4.338
2025/03/25,4.316
2025/03/26,4.353
2025/03/27,4.36
2025/03/28,4.251
2025/03/31,4.21
2025/04/01,4.16
2025/04/02,4.125
2025/04/03,4.036
2025/04/04,3.999
2025/04/07,4.201
2025/04/08,4.289
2025/04/09,4.325
2025/04/10,4.424
2025/04/11,4.495
2025/04/14,4.383
2025/04/15,4.339
2025/04/16,4.28
2025/04/17,4.332
2025/04/21,4.416
2025/04/22,4.4
2025/04/23,4.384
2025/04/24,4.314
2025/04/25,4.254
2025/04/28,4.205
2025/04/29,4.171
2025/04/30,4.167
2025/05/01,4.215
2025/05/02,4.307
2025/05/05,4.348
2025/05/06,4.298
2025/05/07,4.268
2025/05/08,4.379
2025/05/09,4.381
2025/05/12,4.472
2025/05/13,4.47
2025/05/14,4.541
2025/05/15,4.431
2025/05/16,4.443
2025/05/19,4.447
2025/05/20,4.483
2025/05/21,4.595
2025/05/22,4.528
2025/05/23,4.507
2025/05/25,4.559
2025/05/26,4.511
2025/05/27,4.445
2025/05/28,4.474
2025/05/29,4.425
2025/05/30,4.397
2025/07/23,4.335999966
2025/07/24,4.418000221
2025/07/26,4.386000156
2025/07/27,4.386000156
2025/07/28,4.386000156
2025/07/29,4.420000076293945
2025/07/29,4.420000076293945
2025/07/30,4.329999923706055
2025/08/14,4.23799991607666
