day,country,news_count,avg_tone
2025/2/24,CN,2658,-0.262828431
2025/2/24,UK,5069,-0.900679184
2025/2/24,US,24214,-1.667687501
2025/2/25,CN,2794,-0.850860007
2025/2/25,UK,5465,-1.234137459
2025/2/25,US,29749,-1.899584422
2025/2/26,CN,2753,-0.54168859
2025/2/26,UK,5078,-0.877407225
2025/2/26,US,30629,-1.700166359
2025/2/27,CN,2834,-1.762614586
2025/2/27,UK,6092,-0.543255698
2025/2/27,US,31116,-1.731001222
2025/2/28,CN,3165,-1.238583559
2025/2/28,UK,6176,-0.51717102
2025/2/28,US,32428,-1.799182534
2025/2/3,CN,2972,-0.955649028
2025/2/3,UK,4183,-1.107894693
2025/2/3,US,24006,-1.752644388
2025/2/4,CN,3724,-1.399349296
2025/2/4,UK,4220,-1.068374924
2025/2/4,US,30533,-2.089205825
2025/2/5,CN,3699,-0.450383038
2025/2/5,UK,4439,-0.755982724
2025/2/5,US,32923,-2.120538933
2025/2/6,CN,3383,-0.059418664
2025/2/6,UK,4295,-0.94613712
2025/2/6,US,30774,-2.07411104
2025/2/7,CN,2948,-0.494357601
2025/2/7,UK,3891,-1.291491183
2025/2/7,US,29179,-2.163883939
2025/2/8,CN,1654,-0.548262406
2025/2/8,UK,2414,-1.762468757
2025/2/8,US,18413,-2.031730964
2025/2/9,CN,1251,-0.662957587
2025/2/9,UK,2311,-1.413746648
2025/2/9,US,12670,-1.856878398
2025/3/1,CN,51,1.162168457
2025/3/1,UK,82662,0.304757366
2025/3/1,US,378115,-0.842409116
2025/3/10,CN,53,0.065014751
2025/3/10,UK,110637,-0.320205412
2025/3/10,US,447610,-0.912196959
2025/3/11,CN,88,1.214590435
2025/3/11,UK,101612,-0.610486799
2025/3/11,US,523334,-0.983703509
2025/3/12,CN,80,0.567290871
2025/3/12,UK,115615,-0.543779144
2025/3/12,US,564473,-0.97637022
2025/3/13,CN,61,1.409751779
2025/3/13,UK,104711,-0.423564221
2025/3/13,US,538840,-1.046399139
2025/3/14,CN,103,-2.071783857
2025/3/14,UK,98219,-0.143469038
2025/3/14,US,534175,-1.116886667
2025/3/15,CN,99,-0.636532096
2025/3/15,UK,62294,-0.310574307
2025/3/15,US,351348,-2.010141843
2025/3/16,CN,42,-1.116617135
2025/3/16,UK,64112,-0.014034792
2025/3/16,US,279542,-2.081610762
2025/3/17,CN,81,-0.687532992
2025/3/17,UK,101731,-0.09825703
2025/3/17,US,482582,-1.300120061
2025/3/18,CN,72,0.417430022
2025/3/18,UK,103840,-0.246953005
2025/3/18,US,525573,-1.111261551
2025/3/19,CN,79,0.503371588
2025/3/19,UK,101132,0.103721171
2025/3/19,US,509063,-1.099931458
2025/3/2,CN,36,0.798958439
2025/3/2,UK,129063,0.662736784
2025/3/2,US,282428,-0.663018259
2025/3/20,CN,114,0.169548285
2025/3/20,UK,112477,0.106182818
2025/3/20,US,509871,-0.954773782
2025/3/21,CN,84,0.007792728
2025/3/21,UK,221413,-1.083368673
2025/3/21,US,479987,-1.051145108
2025/3/22,CN,52,-0.305734197
2025/3/22,UK,95508,-1.14536784
2025/3/22,US,280474,-1.051200108
2025/3/23,CN,25,0.715104891
2025/3/23,UK,67714,-0.917468393
2025/3/23,US,214849,-0.965544595
2025/3/24,CN,97,0.893373637
2025/3/24,UK,97470,-0.23032503
2025/3/24,US,432361,-0.863709199
2025/3/25,CN,98,-0.962151553
2025/3/25,UK,100703,-0.349261299
2025/3/25,US,490542,-0.838565376
2025/3/26,CN,116,0.088379267
2025/3/26,UK,106986,-0.200761399
2025/3/26,US,520148,-0.882394809
2025/3/27,CN,112,-1.88091406
2025/3/27,UK,106742,-0.130348327
2025/3/27,US,558091,-0.826572595
2025/3/28,CN,91,-0.21148617
2025/3/28,UK,109527,-0.26756722
2025/3/28,US,539168,-0.926294389
2025/3/29,CN,27,-0.780760303
2025/3/29,UK,64317,-0.374176695
2025/3/29,US,307936,-1.005202869
2025/3/3,CN,68,1.065036926
2025/3/3,UK,139728,0.385400287
2025/3/3,US,451229,-0.568411257
2025/3/30,CN,20,2.909008113
2025/3/30,UK,65800,0.013124895
2025/3/30,US,259299,-0.875981794
2025/3/31,CN,9,-1.881571442
2025/3/31,UK,95257,-0.417214555
2025/3/31,US,438641,-0.923471201
2025/3/4,CN,55,-1.00386885
2025/3/4,UK,116761,-0.060175875
2025/3/4,US,627036,-0.917396207
2025/3/5,CN,55,0.278574219
2025/3/5,UK,112281,-0.207673309
2025/3/5,US,667827,-1.034064079
2025/3/6,CN,23,-0.688227998
2025/3/6,UK,113849,-0.214072493
2025/3/6,US,556776,-0.933442628
2025/3/7,CN,82,-0.577545271
2025/3/7,UK,112640,-0.390559956
2025/3/7,US,507823,-0.976264716
2025/3/8,CN,36,-1.40116169
2025/3/8,UK,75625,0.067058517
2025/3/8,US,314689,-1.234244029
2025/3/9,CN,64,0.492420058
2025/3/9,UK,69226,-0.313960486
2025/3/9,US,249225,-1.157009408
2025/4/1,CN,47,2.24811523
2025/4/1,UK,106496,-0.49892196
2025/4/1,US,508837,-1.096967045
2025/4/10,CN,32,1.403804236
2025/4/10,UK,112249,-0.204143728
2025/4/10,US,580545,-0.964914248
2025/4/11,CN,32,1.373376763
2025/4/11,UK,115130,-0.179820481
2025/4/11,US,566944,-1.263084767
2025/4/12,CN,19,1.03367336
2025/4/12,UK,88667,-0.580588674
2025/4/12,US,329116,-1.008291728
2025/4/13,CN,24,2.064896419
2025/4/13,UK,67266,-0.576224452
2025/4/13,US,254589,-0.962261541
2025/4/14,CN,25,2.429723898
2025/4/14,UK,94323,-0.359504163
2025/4/14,US,476054,-1.048861916
2025/4/15,CN,77,0.491107706
2025/4/15,UK,114497,-0.717523484
2025/4/15,US,532414,-1.022495127
2025/4/16,CN,58,-0.807902544
2025/4/16,UK,109222,-0.143041221
2025/4/16,US,556189,-1.063353313
2025/4/17,CN,59,-1.280027683
2025/4/17,UK,104139,0.020743514
2025/4/17,US,522102,-1.063260187
2025/4/18,CN,30,0.752576001
2025/4/18,UK,87152,-0.35342131
2025/4/18,US,502908,-1.228172562
2025/4/19,CN,43,0.183128177
2025/4/19,UK,70018,-0.222456385
2025/4/19,US,305579,-1.443650074
2025/4/2,CN,31,-0.609636631
2025/4/2,UK,109290,-0.297127872
2025/4/2,US,606032,-1.091127338
2025/4/20,CN,57,-1.297392505
2025/4/20,UK,65655,-0.079123032
2025/4/20,US,252903,-1.569193708
2025/4/21,CN,184,-2.731488534
2025/4/21,UK,76501,-0.3274258
2025/4/21,US,441138,-0.921289327
2025/4/22,CN,200,-0.661800502
2025/4/22,UK,91042,-0.165553795
2025/4/22,US,497340,-0.896697779
2025/4/23,CN,166,-0.668640009
2025/4/23,UK,129733,-0.40192311
2025/4/23,US,524871,-0.929753572
2025/4/24,CN,228,-0.982266672
2025/4/24,UK,106365,-0.253990235
2025/4/24,US,516352,-1.055601131
2025/4/25,CN,87,0.468811707
2025/4/25,UK,106946,-0.143349283
2025/4/25,US,506592,-1.168123565
2025/4/26,CN,27,0.010386952
2025/4/26,UK,74059,-0.224039524
2025/4/26,US,289418,-1.173609712
2025/4/27,CN,44,1.613330699
2025/4/27,UK,70033,-0.345131177
2025/4/27,US,241395,-0.703939632
2025/4/28,CN,36,0.646350388
2025/4/28,UK,96510,-0.489010961
2025/4/28,US,418085,-1.10934211
